Sex,Seat,libarts,TV,computer,Sleep,alcohol,Height,momheight,dadheight,exercise,GPA
Female,Back,NonLib,13,10,3.5,12,66,66,71,10,4
Male,Back,NonLib,20,7,9,0,72,64,65,2,2.3
Male,Back,NonLib,15,15,6,0,68,62,74,3,2.6
Male,Middle,NonLib,8,20,6,0,68,59,70,6,2.8
Female,Front,NonLib,2.5,10,5,5,64,65,70,6.5,2.62
Male,Middle,NonLib,2,14,9,0,68.5,60,68,2,2.2
Female,Front,NonLib,4,28,8.5,1.5,69,66,76,3,3.78
Female,Middle,NonLib,8,10,7,4.5,66,63,70,4.5,3.2
Male,Middle,NonLib,1,15,8,1,70,68,71,3,3.31
Male,Back,NonLib,8,25,4.5,0,67,63,66,6,3.39
Male,Middle,NonLib,3.5,9,8,7,68,62,64,8,3
Female,Middle,NonLib,11,20,5,3,68,64,69,0,2.5
Male,Back,NonLib,10,14,8,15,68,61,72,10,2.8
Male,Front,NonLib,1,84,5,2.5,61,62,62,3,2.34
Female,Middle,NonLib,10,11,9,1,65,62,66,5,2
Female,Back,NonLib,10,1,9,15,64,70,73,4,2.4
Female,Middle,NonLib,1,5,6.5,5,65,70,75,3,1.05
Male,Middle,NonLib,2,6,5,35,71,62,69,20,3.25
Male,Middle,NonLib,40,4,4,0,68,54,68,4.5,3.5
Male,Back,NonLib,10,10,8.5,55,77,64,74,10,2.2
Female,Front,NonLib,30,30,9.5,0,68,68,69,1,2.5
Male,Front,NonLib,1.5,8,8.5,0,67,64,66,5,3.5
Male,Middle,NonLib,10,12,9,10,75,68,73,7,3
Male,Back,NonLib,15,5,6,30,72,67,71,6,3.6
Male,Back,NonLib,4,5,6.5,4,68,66,68,9,3.16
Male,Back,NonLib,6,6,5,20,72,62,70,10,2.4
Female,Middle,NonLib,100,2,7,0,66,60,77,3,2.65
Female,Front,NonLib,15,40,5,0,60,59,62,10,2.6
Female,Middle,NonLib,1,14,6,0,60,62,63,2,0.548
Male,Front,NonLib,3.5,22.5,7,2,66,60,64,3,3.4
Male,Middle,NonLib,10,20,8,0,75,64,67,5,4
Male,,NonLib,1,14,7,0,69,64,69,10,3.2
Male,Middle,NonLib,1,10,6.5,0,73,60,67,8,3
Male,,NonLib,4,3,6,10,70,60,65,3,2.2
Female,Middle,NonLib,1,3,7,1,64,60,72,3,3.5
Female,Back,NonLib,6,3,7,2,70,62,74,10,3.28
Female,Front,NonLib,1.5,5.5,5.5,0,64,61,70,1.5,3.2
Female,Back,NonLib,4,1,7.5,4,63,61,70,4,2.81
Female,Middle,NonLib,10,5,9,0,61,60,67,3,2.87
Female,Middle,NonLib,18,14,7,0,69,65,68,5,3.19
Male,Middle,NonLib,20,15,6.5,30,73,67,73,4,1.98
Female,Middle,NonLib,4,6,6,1,63,64,65,4,1.9
Male,Middle,NonLib,20,25,9,0,70,60,64,5,2.51
Male,Middle,NonLib,5,20,4,2,70,64,68,2,3.2
Male,Middle,NonLib,0,30,3.5,0,69,63,65,6,3.04
Male,Front,NonLib,11,17,4.5,20,76,66,72,4,2.5
Female,Back,NonLib,0,30,8.5,2.5,66,66,66,2,2
Female,Back,NonLib,1,8.5,7,10,65,64,70,4,2.6
Female,Middle,NonLib,2,10,11,0,64,62,68,2,3.06
Female,Middle,NonLib,8,7,8,0,66,64,73,6,2.8
Female,Front,NonLib,1,5,4,0,65,61,67,3,3
Female,Front,NonLib,3,8,7,0,63,60,67,2,3.3
Female,Front,NonLib,6,3,4.5,1,63,64,74,5.5,3.2
Female,Middle,NonLib,10,7,4,0,65,62,75,2,3.5
Female,Middle,NonLib,15,25,7,2,66,64,70,5,3
Female,Back,NonLib,15,6,9.5,0,67,64,70,2,2.5
Male,Middle,NonLib,12,12,5,2,69,60,67,6,2.4
Female,Middle,NonLib,2,,9,3,67.5,69,69,5,2.02
Female,Middle,NonLib,4,17.5,9,1,62,60,60,2,2.14
Male,Middle,NonLib,15,30,8,0,68,65,66,10,3
Female,Front,NonLib,21,3,8,0,64,63,74,10,3.73
Female,Front,NonLib,4,10,8.5,0,63,62,68,2,3
Female,Middle,NonLib,4,21,6.5,0,64,62,69,3,2.23
Female,Middle,NonLib,8,20,5,2,63,58,74,2,2.3
Male,Middle,NonLib,2,7,7.5,3,69,65,68,6,2.58
Male,Back,NonLib,4,10,8,10,73,67,72,6,3.5
Male,Middle,NonLib,10,5,2,5,66,60,65,1,2.66
Female,Middle,NonLib,2,10,5.25,0,62.5,65,71.5,8,3
Female,Back,NonLib,9,12.5,7.5,17.5,65,64,72,4.5,3.25
Female,Middle,NonLib,7,15,8,4,66.5,63,74,1.5,
Male,Back,NonLib,14,28,9,10,67,60,67,1.5,3.16
Male,Middle,NonLib,2,7.5,7.5,0,68,61,65,21.5,3
Female,Middle,NonLib,3.5,21,6.5,1,69.5,66,72,3.5,3.3
Male,Middle,NonLib,0,10,12,15,71,64,72,2,1.85
Female,Middle,NonLib,10,20,6,0,63.5,60,67,1,2.75
Female,Middle,NonLib,5.5,20,10,6,69,64,74,4,3.12
Male,Middle,NonLib,14,14,5,0,70.5,62,74.75,1.5,3.24
Male,Back,NonLib,0,1,6.5,10,70,63,70,0,2.97
Male,Back,NonLib,21,21,6.5,0,66,64,64,1,3
Male,Middle,NonLib,14,20,7,0,65,66,55,2,3
Female,Back,NonLib,11,7,7,1,67,63,72,5,3.01
Female,Middle,NonLib,8,10,8,0,67,66,70,2,3.1
Male,Front,LibArts,2,30,7,3,70,64,70,4,3.4
Female,Front,LibArts,1.5,20,8,0,67,69,66,0,4
Male,Middle,LibArts,14,10,7,6,65,64,65,3,2.8
Male,Middle,LibArts,2,10,8,7,70,67,71,7,3.37
Male,Back,LibArts,20,0,8,1,72,66,74,3,3.5
Male,Middle,LibArts,1,20,8,0,70,57,68,0,2.4
Male,Middle,LibArts,14,2,9,18,70,69.25,69,3,2
Female,Front,LibArts,10,5,8,0,67,65,68,2.5,3.5
Male,Middle,LibArts,15,10,6,2,71,66,69,1,2.7
Female,Middle,LibArts,2,4,6.5,1,67,63,71,30,3
Female,Middle,LibArts,10,50,7,1,63,60,69,7,2.5
Female,Middle,LibArts,6,5,8.5,4,63,61,67,1,2.17
Female,Front,LibArts,20,8,7,0,60,60,66,0,3.1
Male,Front,LibArts,20,30,6,0,64,60,65,10,2.5
Male,Back,LibArts,35,40,10,5,63,65,64,2,3.43
Male,Front,LibArts,15,15,6,0,66,61,61,2,3.6
Male,Middle,LibArts,5,40,10,0,71,63,70,2.5,2.91
Female,Front,LibArts,35,21,10.5,0,63,68,75,2.5,2.83
Female,Middle,LibArts,1,2,8,0,65.5,62,71,4.5,3.22
Female,Middle,LibArts,4,9,7,2,66,63,72,6,3.8
Male,Front,LibArts,0,14,7.5,0,72,67,74,4,2.1
Female,Middle,NonLib,5,5,8.5,10,68,67,70,0.5,2.87
Female,Middle,NonLib,5,5,7,0,65,62,67,2,3.91
Female,Back,NonLib,0.5,3,4,0,65,63.5,69,1.5,4
Female,Middle,NonLib,1,2,7,3,66,67,70,2.5,2.5
Female,Middle,NonLib,15,10,8,3,66,65,68,2,3.5
Female,Middle,NonLib,5,6,7,3,67,64,71,5,3.42
Female,Middle,NonLib,8,8,6,3,63,61,70,4,3.3
Male,Middle,NonLib,1,37,7,0,69,64,71,1,3.6
Female,Middle,NonLib,10,14,10,3,66,60,69,10,2.26
Male,Middle,NonLib,2,28,7,3,70,60,78,2,3.18
Female,Front,NonLib,14,1,4.5,,67,62,71,11,3
Female,Middle,NonLib,1,7,6,0,61,63,69,7,3.2
Female,Middle,NonLib,1,13.5,3,0,62,60,68,3,3.9
Male,Front,NonLib,2,4,6,0,65,61,63,11,2
Female,Middle,NonLib,1,6,5,0,63.5,62,63,3,2
Female,Middle,NonLib,4,10,4.5,0,61,62,65,0,2.66
Female,Middle,NonLib,3,20,7,5,64,61,63,2,3.88
Male,Back,NonLib,8,35,8,15,57,61,66,25,2.5
Male,Middle,NonLib,1,17.5,5,0,69,62,72,3,3.15
Female,Middle,NonLib,3,5,9,2,61,65,69,7,2.7
Male,Back,NonLib,12,25,6,0,76,64,72,1.5,3.17
Male,Front,NonLib,30,15,6,10,69,62,69,,2.47
Male,Middle,NonLib,15,20,7.5,12,72.5,66,72,4,
Male,Front,NonLib,0.5,10,5.5,0,69,62,68,6.5,3.3
Male,Middle,NonLib,9,2,7,20,77,71,76,15,2.34
Male,Back,NonLib,25,25,9,45,75,63,77,3,2.4
Female,Front,NonLib,2,6,8,0,61,64,68,1,3
Female,Middle,NonLib,3,35,8,0,63,61,72,0,2.81
Female,Middle,NonLib,1,35,8,4,62,62,72,2,2.82
Female,Front,NonLib,3.5,9,6.5,9,64,64,74,5.5,3.88
Female,Front,NonLib,30,24,6,0,64,62,68,2,2.19
Male,Back,NonLib,20,7,7,14,72,67,73,5,2.29
Female,Middle,NonLib,3,5,10,0,65,66,73,1,3.62
Female,Middle,NonLib,2,5,8,0,64,61,67,3,3.1
Female,Middle,NonLib,15,10,9,0,59,60,64,2,2.8
Female,Front,NonLib,16,21,7,1.5,65,67,68,2,2.74
Female,Front,NonLib,5,10,8,5,63,65,68,4.5,2.99
Male,Middle,NonLib,8,4,6,0,71,66,70,8,3
Female,Middle,NonLib,10,15,4.5,0,64.5,62,66.5,1,2.7
Female,Front,NonLib,2,25,8,2,64,63,71,2,3.1
Male,Middle,NonLib,8,1.5,6,5,72,63,74,10,3.4
Male,Middle,NonLib,10,2,5.5,20,68,63,68,8,2.4
Male,Middle,NonLib,10,25,7,0,69,64,67,2,2.76
Female,Front,NonLib,6,12,9.5,2,70,62,76,0,3
Female,Front,NonLib,3.5,2,8,0,60,61,65,2.5,3.86
Male,Back,NonLib,3,20,5.5,3,66,62,70,2,2.1
Female,Back,NonLib,1,12,8,0,62,63,68,2,3.45
Female,Back,NonLib,5,35,5,4,65,69,72,5,2.18
Male,Back,NonLib,8,32,6,3,72,65,71,1.5,2.8
Male,Middle,NonLib,9,7,7,10,75,68,74,7,3.5
Male,Front,NonLib,1,10,5,5,72,60,74,3,4
Female,Middle,NonLib,5,2,6,0,64,62,66,6,4
